City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,el porvenir,13.7617,-87.3458,31.63,76,100,0.94,HN,2023-10-03 20:03:40
254,saint-francois,46.4154,3.9054,13.69,88,0,1.03,FR,2023-10-03 20:03:40
255,sitka,57.0531,-135.33,10.94,82,100,7.2,US,2023-10-03 20:03:40
256,kristiansund,63.1115,7.732,10.36,93,75,4.12,NO,2023-10-03 19:58:48
257,dwarka,22.2394,68.9678,26.52,74,9,3.44,IN,2023-10-03 20:03:41
258,kingston,17.997,-76.7936,32.91,73,20,4.12,JM,2023-10-03 20:00:17
259,codrington,-38.2667,141.9667,6.76,84,48,1.03,AU,2023-10-03 20:03:41
260,raduzhny,62.0961,77.475,4.27,77,31,2.29,RU,2023-10-03 20:03:41
261,ko pha ngan,9.7578,100.0291,23.32,90,100,7.2,TH,2023-10-03 20:03:41
262,mokhsogollokh,61.4681,128.9203,-0.98,75,100,1.88,RU,2023-10-03 20:03:41
263,new norfolk,-42.7826,147.0587,9.28,85,99,0.3,AU,2023-10-03 19:58:51
264,alexandria,31.2156,29.9553,25.3,63,94,3.94,EG,2023-10-03 20:02:02
265,kayyerkan,69.3786,87.7439,-0.39,100,95,8.52,RU,2023-10-03 20:03:41
266,guilin,25.2819,110.2864,25.06,90,78,1.79,CN,2023-10-03 20:00:50
267,bitam,2.076,11.5007,21.17,99,96,1.58,GA,2023-10-03 20:03:42
268,mata-utu,-13.2816,-176.1745,27.2,83,64,9.31,WF,2023-10-03 20:03:42
269,iquitos,-3.7481,-73.2472,36.02,44,40,3.6,PE,2023-10-03 20:03:42
270,baglung,28.2719,83.5898,19.46,94,100,1.82,NP,2023-10-03 20:03:42
271,refahiye,39.9008,38.7667,7.71,93,89,1.66,TR,2023-10-03 20:03:42
272,san julian,21.0167,-102.1667,27.31,32,99,3.08,MX,2023-10-03 20:03:42
273,armacao de buzios,-22.7469,-41.8817,23.09,87,71,3.47,BR,2023-10-03 20:03:42
274,labrador city,52.9463,-66.9114,8.95,49,0,3.6,CA,2023-10-03 20:00:15
275,castilho,-20.8722,-51.4875,36.64,27,35,5.52,BR,2023-10-03 20:03:42
276,hilo,19.7297,-155.09,28.12,73,20,2.57,US,2023-10-03 20:03:43
277,geraldton,-28.7667,114.6,9.23,93,0,4.63,AU,2023-10-03 20:03:43
278,port lincoln,-34.7333,135.8667,10.43,61,40,7.01,AU,2023-10-03 20:03:43
279,porto velho,-8.7619,-63.9039,34.03,52,20,5.14,BR,2023-10-03 20:03:22
280,camana,-16.6228,-72.7111,19.72,85,88,5.28,PE,2023-10-03 20:03:43
281,jiuquan,39.7432,98.5174,11.91,46,100,1.54,CN,2023-10-03 20:03:43
282,newman,37.3138,-121.0208,28.92,32,3,0.89,US,2023-10-03 20:03:43
283,caleta de carquin,-11.0925,-77.6267,20.86,79,83,5.18,PE,2023-10-03 20:03:43
284,santa ana de yacuma,-13.75,-65.4333,37.97,37,40,7.72,BO,2023-10-03 20:03:43
285,tura,25.5198,90.2201,23.12,93,100,2.4,IN,2023-10-03 20:03:44
286,dawesville,30.9224,-84.0091,30.09,36,0,4.12,US,2023-10-03 20:03:44
287,lemvig,56.5486,8.3102,13.97,85,8,9.92,DK,2023-10-03 20:03:44
288,antsiranana,-12.2787,49.2917,23.56,77,9,8.23,MG,2023-10-03 20:03:44
289,uturoa,-16.7333,-151.4333,25.9,81,13,8.59,PF,2023-10-03 20:03:44
290,palmer,42.1584,-72.3287,28.47,57,20,2.57,US,2023-10-03 20:03:18
291,krasnozavodsk,56.45,38.2167,13.32,75,100,5.35,RU,2023-10-03 20:03:44
292,belmonte,-15.8631,-38.8828,25.56,77,88,5.4,BR,2023-10-03 20:02:07
293,shingu,33.7333,135.9833,20.69,93,85,1.58,JP,2023-10-03 20:03:44
294,coahuayana de hidalgo,18.7,-103.6583,32.09,62,100,3.22,MX,2023-10-03 20:03:45
295,novokayakent,42.3937,47.9861,18.24,80,100,4.13,RU,2023-10-03 20:03:45
296,bani,18.2833,-70.3333,35.69,68,68,2.99,DO,2023-10-03 20:03:45
297,radyvyliv,50.1299,25.2558,14.74,65,64,4.11,UA,2023-10-03 20:03:45
298,vilhena,-12.7406,-60.1458,34.12,46,40,4.12,BR,2023-10-03 20:02:07
